,efa8_institutional_alienation,efa8_political_action,efa8_outgroup_hostility,efa8_social_outgroup_distrust,efa8_moral_political_authoritarianism,efa8_political_interest,efa8_coercive_institutional_trust,efa8_symbolic_nationalism
SS Loadings,2.0138359570177284,2.003543708859927,1.918927801727337,1.7861593017173543,1.3886491454017866,1.305095912960392,1.0538986017803254,0.7365382255366506
Proportion Var,0.061025332030840256,0.06071344572302809,0.05814932732507082,0.054126039445980434,0.042080277133387474,0.03954836099879976,0.03193632126607047,0.022319340167777292
Cumulative Var,0.061025332030840256,0.12173877775386835,0.17988810507893915,0.2340141445249196,0.27609442165830705,0.3156427826571068,0.3475791039231773,0.3698984440909546
