,SOF1,SOF2,SOF3
efa8_institutional_alienation,0.7058110968267726,-0.1805966247149163,-0.09567849308043062
efa8_political_action,0.09668998213376853,0.13968745988192688,0.31824500057987176
efa8_outgroup_hostility,0.4636702863412536,-0.07880555229448162,0.5315152035428679
efa8_social_outgroup_distrust,0.04786931661269694,0.6448833094960609,-0.34487430801826646
efa8_moral_political_authoritarianism,-0.06218903055428791,0.8708406561561148,0.0816869061672522
efa8_political_interest,-0.07882293879961212,-0.13464324120703866,0.5639426675668147
efa8_coercive_institutional_trust,-0.8158924989086541,-0.05864208363557458,-0.01746691572619774
efa8_symbolic_nationalism,-0.2494227944044125,-0.07190161525359681,0.5025836287782628
